123221.0000,6325.76,"N",1023.42,"E",1,4,21.4,"M",,"N",3.3,"K",,"T",,"M",21.4,18.2,82.1,101.2,-0.88,,,,,,,,,,,,,,,,,,,,,
123222.0000,6325.76,"N",1023.42,"E",1,4,20.7,"M",,"N",3.2,"K",,"T",,"M",21.4,18.2,82.4,100.8,-0.99,,,,,,,,,,,,,,,,,,,,,
123223.0000,6325.76,"N",1023.42,"E",1,4,20.4,"M",,"N",2.1,"K",,"T",,"M",21.4,18.1,82.4,100.8,-1,,,,,,,,,,,,,,,,,,,,,
123224.0000,6325.76,"N",1023.42,"E",1,4,20.4,"M",0.66,"N",1.2,"K",,"T",,"M",21.4,18.6,82.7,100.8,-1,,,,,,,,,,,,,,,,,,,,,
123225.0000,6325.77,"N",1023.42,"E",1,4,22.3,"M",0.88,"N",1.6,"K",,"T",,"M",21.4,17.8,82.1,100.8,-1.11,,,,,,,,,,,,,,,,,,,,,
123226.0000,6325.77,"N",1023.42,"E",1,4,22.7,"M123226.000",23226,6325.77,25.77,1023.42,23.42,3,,4,21.4,17.8,82.1,100.8,-1,,,,,,,,,,,,,,,,,,,,,
123227.0000,6325.77,"N",1023.42,"E",1,4,24,"M",1.16,"N",2.2,"K",,"T",,"M",21.4,17.8,82.7,100.9,-1,,,,,,,,,,,,,,,,,,,,,
123229.0000,6325.77,"N",123229,6325.77,25.77,0.77,77,4205,5,24.7,0.7,,0.13,,,,20.8,17.8,82.1,100.9,-1,,,,,,,,,,,,,,,,,,,,,
123230.0000,6325.77,"N",1023.42,"E",1,4,22.9,"M",,"N",1123230,0,6325.77,669,9,"02 20.4",20.4,17.8,82.1,100.8,-1.11,,,,,,,,,,,,,,,,,,,,,
123231.0000,6325.77,"N",123231,6325.77,25.77,0.77,64,4222,22,21.8,0.8,,0.11,,,,20.4,17.8,84.4,100.9,-0.99,,,,,,,,,,,,,,,,,,,,,
123232.0000,6325.77,"N",1023.42,"E",1,4,20.4,"M",0.71,"N",1.3,"K",,"T",,"M",20.4,17.8,82.4,100.8,-0.99,,,,,,,,,,,,,,,,,,,,,
123233.0000,6325.77,"N",1023.42,"E",1,4,20.2,"M",2.02,"N",3.7,"K",,"T",,"M",20.6,17.7,82.1,100.8,-1.11,,,,,,,,,,,,,,,,,,,,,
123234.0000,6325.77,"N",1023.42,"E",1,5,21.1,"M",1.14,"N",2.1,"K",,"T",,"M",20.4,17.1,82.1,100.8,-1.22,,,,,,,,,,,,,,,,,,,,,
123236.0000,6325.77,"N",1023.43,"E",1,5,23.3,"M",,"N",2.1,"K",,"T",,"M",20.4,17.1,82.1,100.8,-1,,,,,,,,,,,,,,,,,,,,,
123237.0000,6325.77,"N",1023.43,"E",1,5,24.8,"M",,"N",4.5,"K",,"T",,"M",20.4,17.4,82.1,100.9,-1.22,,,,,,,,,,,,,,,,,,,,,
123238.0000,6325.77,"N",1023.43,"E123238.000",23238,238,0,701,1,4257,57,25.7,0.7,,,6,20.4,17.2,82.1,100.9,-1,,,,,,,,,,,,,,,,,,,,,
123239.0000,6325.77,"N",1023.43,"E",1,5,26.7,"M",2.61,"N",4.8,"K",,"T",,"M",20.4,17.8,82.1,100.8,-1,,,,,,,,,,,,,,,,,,,,,
123240.0000,6325.77,"N",1023.43,"E",1,5,27.8,"M",2.71,"N",5,"K",,"T",,"M",20.4,17.8,82.1,100.8,-1,,,,,,,,,,,,,,,,,,,,,
123241.0000,6325.77,"N",1023.43,"E",1,5,28.3,"M",2.71,"N",5,"K",,"T",,"M",20.4,17.8,82.1,100.9,-0.88,,,,,,,,,,,,,,,,,,,,,
123242.0000,6325.77,"N",1023.43,"E",1,6,29,"M",2.99,"N",5.5,"K",,"T",,"M",20.4,17.8,84.4,100.8,-1.88,,,,,,,,,,,,,,,,,,,,,
123244.0000,6325.78,"N",1023.43,"E",1,7,30.5,"M",,"N",6,"K",,"T",,"M",20.4,17.8,86.2,100.8,-0.88,,,,,,,,,,,,,,,,,,,,,
123245.0000,"6325.777123245.000",3245,45,0.78,775,5,,,,,,4,,,0.7,,20.4,17.8,82.1,100.8,-0.99,,,,,,,,,,,,,,,,,,,,,
